Time	V1	V2	V3	Pressure1	Pressure2	OGTime	Constant
0.002	0	0	0	0	-0.36	2	1000
0.03	0	0	0	0.12	-0.36	30	
0.052	0	0	0	0	-0.55	52	
0.077	0	0	0	-0.48	-0.43	77	
0.102	0	0	0	0	-0.24	102	
0.127	0	0	0	0	-0.36	127	
0.154	0	0	0	-0.17	-0.43	154	
0.177	0	0	0	-0.6	0.05	177	
0.202	0	0	0	-0.48	0.12	202	
0.227	0	0	0	-0.05	-0.36	227	
0.252	0	0	0	-0.72	-0.6	252	
0.277	0	0	0	-0.12	-0.36	277	
0.308	0	0	0	-0.36	-0.31	308	
0.327	0	0	0	-0.24	-0.12	327	
0.352	0	0	0	-0.05	-0.19	352	
0.377	0	0	0	0.12	0	377	
0.402	0	0	0	-0.12	-0.31	402	
0.427	0	0	0	-0.17	-0.19	427	
0.452	0	0	0	0.24	-0.24	452	
0.48	0	0	0	-0.24	-0.36	480	
0.504	1	0	0	-0.05	-0.36	504	
0.527	1	0	0	-1.67	-0.48	527	
0.552	1	0	0	1.07	-0.31	552	
0.577	1	0	0	4.05	-0.6	577	
0.602	1	0	0	6.48	-0.67	602	
0.627	1	0	0	8.82	-0.24	627	
0.652	1	0	0	11.18	-0.79	652	
0.677	1	0	0	12.25	-0.67	677	
0.702	1	0	0	14.4	-0.31	702	
0.727	1	0	0	16.62	-1.07	727	
0.752	1	0	0	18.76	-0.83	752	
0.777	1	0	0	20.64	-0.48	777	
0.803	0	0	0	31.92	-0.55	803	
0.832	0	0	0	62.7	-0.36	832	
0.852	0	0	0	69.9	-0.48	852	
0.879	0	0	0	65.8	-0.19	879	
0.902	0	0	0	66.75	-0.31	902	
0.927	0	0	0	66.87	-0.55	927	
0.952	0	0	0	66.87	-0.36	952	
0.977	0	0	0	66.27	-0.67	977	
1.002	0	0	0	66.32	-0.31	1002	
1.028	0	0	0	66.08	-0.24	1028	
1.056	0	0	0	65.92	-0.24	1056	
1.079	0	0	0	65.61	-0.31	1079	
1.102	0	0	0	64.77	-0.07	1102	
1.127	0	0	0	64.89	-0.19	1127	
1.152	0	0	0	64.77	0.05	1152	
1.179	0	0	0	64.6	-0.12	1179	
1.202	0	0	0	63.89	-0.31	1202	
1.227	0	0	0	64.13	-0.24	1227	
1.252	0	0	0	64.01	-0.31	1252	
1.316	0	0	0	63.94	-0.36	1316	
1.318	0	0	0	63.53	-0.48	1318	
