Time,V1,V2,V3,Pressure1,Pressure2
-598,0,0,0,-0.72,-0.19
-573,0,0,0,-0.83,0.12
-546,0,0,0,-0.24,-0.36
-506,0,0,0,-0.41,-0.24
-493,0,0,0,-0.29,-0.31
-473,0,0,0,-0.48,0.05
-448,0,0,0,-0.05,-0.31
-423,0,0,0,-0.52,-0.36
-398,0,0,0,-0.36,-0.36
-370,0,0,0,-0.41,-0.07
-348,0,0,0,-0.36,-0.43
-323,0,0,0,-0.76,-0.07
-298,0,0,0,-0.48,-0.36
-273,0,0,0,-0.48,-0.31
-238,0,0,0,-0.29,-0.60
-223,0,0,0,-0.36,-0.31
-198,0,0,0,-0.17,-0.12
-167,0,0,0,-0.48,-0.24
-144,0,0,0,-0.36,-0.31
-123,0,0,0,-0.05,0.00
-98,0,0,0,-0.64,-0.24
-73,0,0,0,-0.41,-0.36
-48,0,0,0,-0.36,-0.19
-23,0,0,0,-0.05,-0.24
2,0,0,0,0.00,-0.36
30,0,0,0,0.12,-0.36
52,0,0,0,0.00,-0.55
77,0,0,0,-0.48,-0.43
102,0,0,0,0.00,-0.24
127,0,0,0,0.00,-0.36
154,0,0,0,-0.17,-0.43
177,0,0,0,-0.60,0.05
202,0,0,0,-0.48,0.12
227,0,0,0,-0.05,-0.36
252,0,0,0,-0.72,-0.60
277,0,0,0,-0.12,-0.36
308,0,0,0,-0.36,-0.31
327,0,0,0,-0.24,-0.12
352,0,0,0,-0.05,-0.19
377,0,0,0,0.12,0.00
402,0,0,0,-0.12,-0.31
427,0,0,0,-0.17,-0.19
452,0,0,0,0.24,-0.24
480,0,0,0,-0.24,-0.36
504,1,0,0,-0.05,-0.36
527,1,0,0,-1.67,-0.48
552,1,0,0,1.07,-0.31
577,1,0,0,4.05,-0.60
602,1,0,0,6.48,-0.67
627,1,0,0,8.82,-0.24
652,1,0,0,11.18,-0.79
677,1,0,0,12.25,-0.67
702,1,0,0,14.40,-0.31
727,1,0,0,16.62,-1.07
752,1,0,0,18.76,-0.83
777,1,0,0,20.64,-0.48
803,0,0,0,31.92,-0.55
832,0,0,0,62.70,-0.36
852,0,0,0,69.90,-0.48
879,0,0,0,65.80,-0.19
902,0,0,0,66.75,-0.31
927,0,0,0,66.87,-0.55
952,0,0,0,66.87,-0.36
977,0,0,0,66.27,-0.67
1002,0,0,0,66.32,-0.31
1028,0,0,0,66.08,-0.24
1056,0,0,0,65.92,-0.24
1079,0,0,0,65.61,-0.31
1102,0,0,0,64.77,-0.07
1127,0,0,0,64.89,-0.19
1152,0,0,0,64.77,0.05
1179,0,0,0,64.60,-0.12
1202,0,0,0,63.89,-0.31
1227,0,0,0,64.13,-0.24
1252,0,0,0,64.01,-0.31
1316,0,0,0,63.94,-0.36
1318,0,0,0,63.53,-0.48
1327,0,0,0,63.22,-0.31
1352,0,0,0,63.22,-0.43
1377,0,0,0,63.06,-0.36
1402,0,0,0,63.17,-0.36
1427,0,0,0,62.63,-0.36
1452,0,0,0,62.63,-0.12
1477,0,0,0,63.17,-0.48
1502,0,0,0,62.27,-0.24
1527,0,0,0,62.34,0.24
1552,0,0,0,62.34,-0.12
1577,0,0,0,61.98,-0.19
1602,0,0,0,61.91,-0.36
1627,0,0,0,61.91,0.24
1652,0,0,0,61.86,-0.31
1677,0,0,0,61.39,-0.24
1702,0,0,0,61.74,-0.48
1727,0,0,0,61.55,-0.31
1752,0,0,0,61.51,-0.43
1777,0,0,0,61.43,-0.95
1802,0,0,0,61.15,-0.19
1827,0,0,0,60.96,-0.36
1852,0,0,0,61.03,-0.19
1877,0,0,0,61.20,-0.24
1902,0,0,0,60.91,-0.07
1927,0,0,0,60.60,-0.12
1952,0,0,0,60.24,-0.55
1977,0,0,0,60.48,-0.19
2002,0,0,0,60.12,-0.36
2028,0,0,0,60.43,-0.36
2052,0,0,0,59.88,-0.31
2077,0,0,0,60.48,-0.24
2104,0,0,0,60.43,-0.67
2127,0,0,0,60.08,-0.67
2152,0,0,0,60.19,-0.60
2177,0,0,0,59.84,-0.24
2202,0,0,0,59.48,-0.31
2227,0,0,0,59.12,-0.12
2252,0,0,0,59.60,-0.19
2277,0,0,0,59.05,0.00
2302,0,0,0,59.12,0.24
2327,0,0,0,59.36,0.24
2352,0,0,0,59.36,0.05
2378,0,0,0,59.29,-0.31
2402,0,0,0,59.77,0.12
2427,0,0,0,59.41,-0.19
2452,0,0,0,59.00,-0.24
2477,0,0,0,59.36,-0.31
2504,0,0,0,59.12,-0.31
2531,0,0,0,59.05,-0.36
2552,0,0,0,58.72,-0.79
2577,0,0,0,59.00,-0.67
2602,0,0,0,58.93,-0.48
2627,0,0,0,58.45,-0.83
2652,0,0,0,58.72,-0.48
2678,0,0,0,58.38,-0.36
2702,0,0,0,58.38,-0.36
2728,0,0,0,58.72,-0.83
2752,0,0,0,58.10,-0.91
2777,0,0,0,57.62,0.00
2802,0,0,0,58.38,-0.36
2828,0,0,0,58.02,-0.31
2852,0,0,0,58.33,-0.07
2878,0,0,0,58.33,-0.60
2902,0,0,0,57.38,-0.36
2928,0,0,0,57.86,-0.31
2952,0,0,0,57.67,-1.03
2977,0,0,0,58.10,-0.31
