Time,V1,V2,V3,Pressure1,Pressure2
-564,0,0,0,0.12,0.00
-463,0,0,0,-0.12,-0.12
-363,0,0,0,0.12,-0.12
-258,0,0,0,-0.12,0.00
-145,0,0,0,0.29,0.41
-64,0,0,0,0.00,0.00
37,0,0,0,0.19,0.29
137,0,0,0,-0.05,-0.31
239,0,0,0,-0.17,0.17
337,0,0,0,0.12,0.41
437,0,0,0,-0.12,-0.07
541,0,0,0,-0.17,-0.12
637,0,0,0,0.07,0.12
737,0,0,0,0.00,0.41
837,0,0,0,0.19,-0.12
937,0,0,0,-0.05,0.17
1039,0,0,0,-0.05,0.24
1137,0,0,0,-0.17,-0.19
1237,0,0,0,-0.17,0.05
1343,0,0,0,-0.05,0.05
1437,0,0,0,0.12,-0.12
1537,0,0,0,0.00,0.12
1637,0,0,0,-0.24,0.05
1737,0,0,0,0.07,-0.12
1837,0,0,0,0.07,0.17
1937,0,0,0,-0.12,-0.19
2036,0,0,0,0.00,0.12
2138,0,0,0,0.12,0.24
2239,0,0,0,-0.12,0.00
2337,0,0,0,0.29,-0.12
2437,0,0,0,0.19,0.29
2537,0,0,0,-0.12,0.12
2639,0,0,0,0.00,0.00
2740,0,0,0,-0.05,-0.12
2837,0,0,0,-0.29,-0.43
2937,0,0,0,0.19,0.24
3041,0,0,0,-0.29,-0.31
3137,0,0,0,0.24,-0.12
3237,0,0,0,-0.41,0.12
3337,0,0,0,0.19,-0.12
3437,0,0,0,-0.36,0.12
3536,0,0,0,0.00,0.05
3637,1,0,0,0.19,0.05
3740,1,0,0,0.19,0.05
3836,1,0,0,-0.05,0.00
3936,1,0,0,0.00,0.64
4036,1,0,0,-0.05,0.05
4136,1,0,0,-0.05,0.29
4236,1,0,0,0.48,0.00
4370,1,0,0,0.41,0.05
4436,1,0,0,0.12,-0.24
4537,1,0,0,-0.05,0.36
4637,1,0,0,-0.12,-0.07
4737,1,0,0,0.07,0.24
4836,1,0,0,0.12,0.48
4936,1,0,0,0.00,-0.24
5036,1,0,0,-0.17,-0.12
5136,1,0,0,-0.24,0.00
5236,1,0,0,0.29,0.05
5336,1,0,0,-0.17,0.00
5436,1,0,0,-0.36,0.17
5537,1,0,0,0.00,0.52
5637,1,0,0,-0.12,-0.19
5744,0,0,0,-0.12,0.00
5837,0,0,0,-0.24,-0.24
5940,0,1,0,0.07,0.05
6038,0,1,0,-0.05,-0.19
6136,0,1,0,0.12,0.00
6236,0,1,0,-0.36,0.24
6336,0,1,0,0.19,-0.24
6440,0,1,0,-0.12,0.00
6537,0,1,0,-0.52,-0.07
6637,0,1,0,0.36,0.05
6737,0,1,0,-0.64,-0.07
6837,0,1,0,-0.17,0.17
6937,0,1,0,0.19,0.12
7037,0,1,0,0.24,0.17
