---Initial Conditions---
PIP: 14.0
PEEP: 5.0
Tidal Volume: 500cc
RPM: 12
------------------------


Time,V1,V2,V3,Pressure1,Pressure2
-213,0,0,0,-0.64,-0.43
-114,0,0,0,-0.64,-0.36
-14,0,0,0,-0.64,-0.55
85,0,0,0,-0.72,-0.31
181,0,0,0,-0.76,-0.36
279,0,0,0,-0.60,-0.48
378,0,0,0,-0.64,-0.67
478,0,0,0,-0.64,-0.31
578,0,0,0,-0.76,-0.43
678,0,0,0,-0.52,-0.55
778,0,0,0,-0.60,-0.48
879,0,0,0,-0.52,-0.43
979,0,0,0,-0.52,-0.60
1079,0,0,0,-0.64,-0.60
1180,0,0,0,-0.64,-0.60
1282,0,0,0,-0.60,-0.55
1379,0,0,0,-0.52,-0.48
1478,0,0,0,-0.36,-0.43
1578,0,0,0,-0.52,-0.48
1706,0,0,0,-0.48,-0.36
1778,0,0,0,-0.52,-0.48
1878,0,0,0,-0.60,-0.43
1978,0,0,0,-0.60,-0.72
2078,0,0,0,-0.64,-0.36
2179,0,0,0,-0.52,-0.31
2279,0,0,0,-0.41,-0.60
2379,0,0,0,-0.52,-0.36
2479,0,0,0,-0.60,-0.43
2579,0,0,0,-0.48,-0.60
2679,0,0,0,-0.60,-0.55
2779,0,0,0,-0.48,-0.79
2879,0,0,0,-0.60,-0.55
2980,0,0,0,-0.60,-0.43
3081,0,0,0,-0.64,-0.55
3178,1,0,0,5.53,-0.43
3278,0,0,0,100.96,-0.67
3378,0,0,0,112.04,-0.36
3484,0,0,0,109.30,-0.48
3578,0,0,0,107.21,-0.12
3678,0,0,0,105.97,-0.48
3779,0,0,0,104.70,-0.43
3880,0,0,0,103.46,-0.43
3978,0,0,0,102.27,-0.36
4078,0,0,0,101.67,-0.60
4178,0,0,0,100.84,-0.55
4280,0,0,0,100.17,-0.60
4378,0,0,0,99.65,-0.67
4482,0,0,0,99.05,-0.31
4578,0,0,0,98.50,-0.31
4678,0,0,0,98.03,-0.60
4778,0,0,0,97.46,-0.55
4880,0,0,0,97.46,-0.43
4978,0,0,0,97.03,-0.43
5078,0,0,0,96.38,-0.48
5178,0,0,0,96.02,-0.36
5279,0,0,0,95.55,-0.48
5387,0,0,0,95.48,-0.72
5486,0,0,0,94.95,-0.55
5586,0,0,0,94.88,-0.48
5678,0,0,0,94.52,-0.60
5778,0,0,0,94.24,-0.43
5878,0,0,0,93.76,-0.55
5978,0,0,0,93.64,-0.43
6078,0,0,0,93.40,-0.43
6178,0,1,0,93.09,-0.31
6279,0,1,0,85.75,-0.60
6379,0,1,0,77.79,-0.31
6479,0,1,0,69.66,-0.36
6579,0,1,0,62.86,-0.48
6679,0,1,0,56.12,-0.36
6779,0,1,0,50.04,-0.24
6879,0,1,0,44.34,-0.36
6979,0,1,0,38.95,0.00
7079,0,1,0,33.78,-0.31
7187,0,1,0,29.32,-0.12
7287,0,1,0,25.01,-0.36
7378,0,1,0,21.19,-0.31
7478,0,1,0,17.62,-0.24
7578,0,1,0,14.59,-0.24
7678,0,1,0,11.61,-0.24
7778,0,1,0,9.30,-0.12
7878,0,0,0,7.27,-0.12
7979,0,0,0,6.56,-0.24
8078,0,0,0,7.03,-0.24
8178,1,0,1,7.32,-0.12
8278,0,0,0,104.70,-0.19
8378,0,0,0,113.74,-0.12
8478,0,0,0,111.57,-0.24
8578,0,0,0,110.38,-0.24
8678,0,0,0,109.42,-0.12
8779,0,0,0,108.54,-0.31
8879,0,0,0,107.87,-0.12
8979,0,0,0,107.28,-0.24
9079,0,0,0,106.73,-0.24
9179,0,0,0,106.09,-0.24
9279,0,0,0,105.89,-0.24
9379,0,0,0,105.42,-0.19
9479,0,0,0,105.13,-0.31
9579,0,0,0,104.70,-0.19
9679,0,0,0,104.42,-0.31
9779,0,0,0,104.18,-0.24
9879,0,0,0,103.70,-0.24
9979,0,0,0,103.46,-0.24
10079,0,0,0,103.46,-0.31
10179,0,0,0,103.22,-0.24
10279,0,0,0,102.99,-0.24
10379,0,0,0,102.51,-0.12
10479,0,0,0,102.44,-0.24
10579,0,0,0,102.27,-0.31
10679,0,0,0,101.96,-0.24
10779,0,0,0,102.03,-0.24
10879,0,0,0,101.67,-0.36
10979,0,0,0,101.44,-0.31
11079,0,0,0,101.44,-0.24
11179,0,0,0,101.20,-0.12
11279,0,0,0,101.08,-0.12
11379,0,0,0,100.89,-0.19
11479,0,0,0,100.72,-0.31
11579,0,0,0,100.24,-0.31
11679,0,0,0,100.53,-0.31
11779,0,0,0,100.24,-0.24
11879,0,1,0,100.05,-0.31
11979,0,1,0,23.86,7.99
12080,0,1,0,5.29,5.17
12179,0,1,0,4.77,5.13
12279,0,1,0,4.70,4.46
12388,0,1,0,4.41,4.58
12486,0,1,0,4.53,4.53
12581,0,1,0,4.82,4.70
12696,0,1,0,5.01,5.13
12786,0,1,0,5.29,5.48
12883,0,1,0,5.17,5.29
12986,0,1,0,5.17,5.17
13084,0,1,0,4.93,5.05
13182,0,1,0,4.93,5.17
13278,0,1,0,5.17,4.89
13378,0,1,0,5.29,5.17
13478,0,1,0,5.17,5.29
13579,0,0,0,5.36,5.41
13680,0,0,0,6.25,5.53
13778,0,0,0,5.65,5.24
13878,0,0,0,6.08,5.13
13981,1,0,1,6.13,5.17
14081,0,0,0,97.62,4.82
14179,0,0,0,113.62,4.82
14278,0,0,0,111.64,4.89
14378,0,0,0,110.57,5.13
14478,0,0,0,109.61,4.93
14578,0,0,0,108.54,4.77
14678,0,0,0,108.06,4.89
14778,0,0,0,107.21,4.65
14878,0,0,0,107.09,4.93
14997,0,0,0,106.61,4.93
15079,0,0,0,106.20,4.70
15178,0,0,0,105.85,4.89
15278,0,0,0,105.49,4.93
15378,0,0,0,105.25,4.77
15478,0,0,0,105.06,4.93
15578,0,0,0,104.89,4.77
15678,0,0,0,104.42,4.89
15778,0,0,0,104.30,4.82
15879,0,0,0,103.99,4.93
15979,0,0,0,103.63,4.93
16086,0,0,0,103.63,4.82
16179,0,0,0,103.34,4.65
16279,0,0,0,103.03,4.82
16379,0,0,0,102.87,4.77
16479,0,0,0,102.80,4.77
16587,0,0,0,102.39,4.77
16678,0,0,0,102.39,4.93
16779,0,0,0,102.15,4.70
16878,0,0,0,102.08,4.93
16978,0,0,0,101.79,4.93
17079,0,0,0,101.84,4.82
17179,0,0,0,101.60,4.77
17279,0,0,0,101.56,4.89
17381,0,0,0,101.13,4.77
17483,0,0,0,101.25,4.65
17579,0,0,0,100.89,4.89
17679,0,0,0,100.72,4.82
17780,0,1,0,100.53,4.70
17878,0,1,0,20.60,20.57
17978,0,1,0,20.12,20.10
18084,0,1,0,20.05,20.17
18180,0,1,0,19.93,20.05
18284,0,1,0,19.81,19.86
18378,0,1,0,19.76,19.81
18478,0,1,0,19.76,19.93
18578,0,1,0,19.72,19.69
18678,0,1,0,19.72,19.74
18778,0,1,0,19.88,19.93
18878,0,1,0,19.72,19.69
18978,0,1,0,19.60,19.69
19078,0,1,0,19.72,19.81
19178,0,1,0,19.60,19.74
19278,0,1,0,19.64,19.69
