Time,V1,V2,V3,Pressure1,Pressure2
-306,0,0,0,5.41,-0.31
-250,0,0,0,5.53,-0.31
-200,0,0,0,5.36,-0.19
-156,0,0,0,5.41,-0.36
-105,0,0,0,5.41,-0.43
-55,0,0,0,5.41,-0.79
0,0,0,0,5.60,-0.36
44,0,0,0,5.48,-0.31
94,0,0,0,5.29,-0.31
144,0,0,0,5.41,-0.31
194,0,0,0,5.60,-0.48
244,0,0,0,5.36,-0.43
294,0,0,0,5.29,-0.19
344,0,0,0,5.53,-0.36
394,0,0,0,5.72,-0.55
444,0,0,0,5.65,-0.31
494,0,0,0,5.41,-0.31
544,0,0,0,5.65,-0.19
594,0,0,0,5.41,-0.48
644,0,0,0,5.48,-0.67
701,0,0,0,5.72,-0.36
744,0,0,0,5.41,-0.36
796,0,0,0,5.29,-0.43
845,0,0,0,5.84,-0.48
894,0,0,0,5.36,-0.48
944,0,0,0,5.48,-0.19
994,0,0,0,5.05,-0.19
1044,0,0,0,5.29,-0.48
1094,0,0,0,5.53,-0.55
1144,0,0,0,5.36,-0.24
1219,0,0,0,5.36,-0.48
1244,0,0,0,5.48,-0.36
1294,0,0,0,5.60,-0.31
1344,0,0,0,5.65,-0.36
1394,0,0,0,5.65,-0.36
1444,0,0,0,5.29,-0.07
1494,0,0,0,5.65,-0.12
1544,0,0,0,5.48,-0.31
1596,0,0,0,5.17,-0.24
1645,0,0,0,5.36,-0.55
1694,0,0,0,5.29,-0.48
1744,0,0,0,5.13,-0.19
1794,0,0,0,5.36,-0.07
1844,0,0,0,5.01,-0.31
1895,0,0,0,5.24,-0.31
1944,0,0,0,5.13,-0.60
1994,0,0,0,5.53,-0.55
2046,0,0,0,5.17,-0.36
2094,0,0,0,5.53,-0.07
2144,0,0,0,5.36,0.05
2194,0,0,0,5.01,0.00
2244,0,0,0,5.53,-0.48
2294,0,0,0,5.13,-0.60
2344,0,0,0,5.36,-0.60
2396,0,0,0,5.24,-0.43
2444,0,0,0,5.01,-0.24
2494,0,0,0,5.36,-0.43
2544,0,0,0,5.29,-0.36
2595,0,0,0,5.65,-0.36
2645,0,0,0,5.36,-0.31
2695,0,0,0,5.53,-0.43
2744,0,0,0,5.17,-0.55
2795,0,0,0,5.48,-0.24
2845,0,0,0,5.36,-0.12
2900,0,0,0,5.60,-0.12
2944,0,0,0,5.41,-0.31
2994,0,0,0,5.24,-0.31
3044,0,0,0,5.17,-0.24
3094,0,0,0,5.41,0.00
3144,0,0,0,5.60,-0.31
3196,0,0,0,5.53,-0.24
3244,0,0,0,5.60,-0.12
3294,0,0,0,5.41,-0.48
3344,0,0,0,5.29,-0.12
3394,0,0,0,5.48,-0.24
3444,0,0,0,5.48,-0.19
3494,0,0,0,5.24,-0.55
3544,0,0,0,5.65,-0.19
3594,0,0,0,5.41,-0.43
3644,0,0,0,5.36,-0.24
3694,0,0,0,5.48,-0.43
3744,1,0,0,5.72,-0.48
3794,1,0,0,46.01,-0.79
3844,1,0,0,101.20,-0.55
3894,1,0,0,102.75,-0.55
3944,1,0,0,97.91,-0.24
3994,1,0,0,101.13,-0.48
4044,1,0,0,100.13,-0.31
4094,1,0,0,100.48,-0.24
4144,1,0,0,100.72,-0.19
4195,1,0,0,100.41,-0.55
4245,1,0,0,99.82,-0.36
4294,1,0,0,98.86,-0.36
4344,1,0,0,100.05,-0.31
4394,1,0,0,100.96,-0.43
4444,1,0,0,101.08,-0.60
4494,1,0,0,99.58,-0.36
4544,1,0,0,99.65,-0.43
4594,1,0,0,99.82,-0.79
4644,1,0,0,99.29,-0.24
4694,1,0,0,100.01,-0.43
4744,1,0,0,100.60,-0.36
4796,1,0,0,100.53,-0.19
4845,1,0,0,99.82,-0.12
4894,1,0,0,100.01,-0.48
4944,1,0,0,101.44,-0.19
4994,1,0,0,101.01,-0.24
5044,1,0,0,101.67,-0.43
5094,1,0,0,101.25,-0.43
5144,1,0,0,100.48,-0.36
5194,1,0,0,99.93,-0.12
5244,1,0,0,99.29,-0.31
5294,1,0,0,100.01,-0.60
5344,1,0,0,101.01,-0.24
5394,1,0,0,99.58,-0.55
5444,1,0,0,100.24,-0.55
5494,1,0,0,100.96,-0.24
5544,1,0,0,101.13,-0.31
5596,1,0,0,99.29,-0.43
5644,1,0,0,101.13,-0.43
5694,1,0,0,101.01,-0.31
5744,1,0,0,99.82,-0.24
5794,1,0,0,100.48,-0.07
5844,1,0,0,100.05,-0.31
5894,1,0,0,100.48,-0.43
5944,1,0,0,100.29,-0.31
5994,1,0,0,99.93,-0.07
6046,1,0,0,100.72,-0.43
6094,1,0,0,100.36,-0.31
6144,1,0,0,99.93,-0.43
6194,1,0,0,100.48,-0.24
6244,1,0,0,100.53,-0.31
6294,1,0,0,100.84,-0.31
6344,1,0,0,100.48,-0.48
6398,1,0,0,101.32,-0.48
6447,1,0,0,100.53,-0.43
6494,1,0,0,100.60,-0.36
6544,1,0,0,100.53,-0.19
6594,1,0,0,100.48,-0.43
6644,1,0,0,101.13,-0.55
6694,1,0,0,100.48,-0.67
6744,1,0,0,99.82,-0.43
6794,1,0,0,100.89,-0.43
6844,1,0,0,100.72,-0.48
6894,1,0,0,100.13,-0.60
6960,1,0,0,100.60,-0.24
6994,0,0,0,100.48,-0.24
7044,0,0,0,100.01,-0.60
7094,0,0,0,101.48,-0.79
7144,0,0,0,101.32,-0.48
7200,0,0,0,101.48,-0.24
7246,0,0,0,101.36,-0.43
7294,0,0,0,101.13,-0.67
7344,0,0,0,101.08,-0.36
7394,0,0,0,101.08,-0.31
7444,0,0,0,100.96,-0.24
7494,0,0,0,100.89,-0.43
7544,0,0,0,100.41,-0.36
7613,0,0,0,100.36,-0.43
7645,0,0,0,100.41,-0.24
7694,0,0,0,99.82,-0.55
7744,0,0,0,100.05,-0.12
7794,0,0,0,99.93,-0.36
7849,0,0,0,99.89,-0.43
7894,0,0,0,99.65,-0.60
7944,0,0,0,99.70,-0.24
7994,0,0,0,99.53,-0.36
8044,0,0,0,99.70,-0.31
8094,0,0,0,99.46,-0.31
8144,0,0,0,99.22,-0.48
8200,0,0,0,98.98,-0.36
8244,0,0,0,98.93,-0.48
8300,0,0,0,99.41,-0.31
8344,0,0,0,99.10,-0.36
8400,0,0,0,98.86,-0.72
8444,0,0,0,98.58,-0.36
8494,0,0,0,98.46,-0.31
8544,0,0,0,98.34,-0.48
8594,0,0,0,98.62,-0.36
8644,0,0,0,98.34,-0.43
8694,0,1,0,98.50,-0.36
8744,0,1,0,26.27,6.56
8794,0,1,0,0.64,-0.12
8844,0,1,0,-0.48,-0.07
8894,0,1,0,-0.64,-0.31
8944,0,1,0,-0.60,-0.31
8994,0,1,0,-0.17,-0.31
9045,0,1,0,-0.36,-0.36
9094,0,1,0,-0.48,-0.43
9144,0,1,0,-0.76,-0.31
9196,0,1,0,-0.29,-0.31
9245,0,1,0,-0.24,-0.24
9294,0,1,0,-0.95,-0.43
9350,0,1,0,-0.60,-0.43
9395,0,1,0,0.00,-0.24
9444,0,1,0,-0.29,-0.31
9494,0,1,0,-0.24,-0.07
9544,0,1,0,-0.48,-0.48
9596,0,1,0,-0.52,-0.43
9645,0,1,0,-0.36,-0.24
9700,0,1,0,-0.48,-0.31
9744,0,1,0,-0.52,-0.48
9794,0,1,0,-0.17,-0.43
9844,0,1,0,-0.48,-0.48
9900,0,1,0,-0.36,-0.72
9944,0,1,0,-0.64,-0.60
9996,0,1,0,-0.41,-0.60
10044,0,1,0,-0.60,-0.19
10094,0,1,0,-0.41,-0.36
10144,0,1,0,-0.48,-0.31
10194,0,1,0,-0.36,-0.07
10244,0,1,0,-0.48,-0.36
10294,0,1,0,-0.64,-0.36
10344,0,1,0,-0.29,-0.24
10394,0,1,0,-0.36,-0.31
10446,0,1,0,-0.41,-0.48
10494,0,0,0,3.27,-0.67
10544,0,0,0,0.52,-0.36
10594,0,0,0,0.00,-0.60
10644,0,0,0,-0.41,-0.43
10694,0,0,0,-0.60,-0.36
10744,0,0,0,0.12,-0.43
10794,0,0,0,0.36,-0.24
10845,0,0,0,0.52,-0.55
10895,0,0,0,0.29,-0.72
10944,0,0,0,0.48,-0.24
10994,0,0,0,0.29,-0.43
11044,0,0,0,0.83,-0.36
11094,0,0,0,0.83,-0.36
11144,0,0,0,1.07,-0.43
11194,0,0,0,1.07,-0.24
11244,0,0,0,0.95,-0.43
11294,0,0,0,1.36,-0.24
11344,0,0,0,1.07,-0.48
11394,0,0,0,1.31,-0.31
11444,0,0,0,1.60,-0.43
11494,0,0,0,1.55,-0.36
11544,0,0,0,1.84,0.00
11596,0,0,0,2.15,-0.36
11646,0,0,0,2.03,-0.48
11695,0,0,0,1.84,-0.31
11744,0,0,0,2.55,-0.31
11794,0,0,0,2.31,-0.24
11844,0,0,0,2.03,-0.31
11894,0,0,0,2.15,-0.36
11944,0,0,0,2.67,-0.24
11996,0,0,0,2.26,-0.24
12044,0,0,0,2.74,-0.43
12094,0,0,0,2.91,-0.60
12144,0,0,0,2.74,-0.12
12194,0,0,0,2.62,-0.36
12245,0,0,0,2.79,-0.60
12294,0,0,0,3.10,-0.43
12344,0,0,0,2.67,-0.36
12394,0,0,0,2.98,-0.48
12444,0,0,0,3.22,-0.31
12494,0,0,0,2.91,-0.36
12544,0,0,0,3.22,-0.31
12594,0,0,0,3.34,-0.48
12644,0,0,0,4.05,-0.55
12694,0,0,0,3.70,-0.60
12744,0,0,0,3.50,-0.43
12796,0,0,0,3.62,-0.36
12844,0,0,0,3.86,-0.60
12894,0,0,0,3.98,-0.12
12944,0,0,0,3.93,-0.36
12994,0,0,0,3.93,-0.43
13045,0,0,0,3.93,-0.36
13094,0,0,0,4.22,-0.43
13144,0,0,0,4.22,-0.36
13194,0,0,0,4.34,-0.48
13244,0,0,0,4.17,-0.19
13294,0,0,0,4.70,-0.55
13344,0,0,0,4.58,-0.55
13394,1,0,0,4.46,-0.36
13444,1,0,0,38.67,-0.31
13494,1,0,0,99.77,-0.55
13544,1,0,0,103.22,-0.31
13595,1,0,0,97.15,-0.12
13644,1,0,0,101.36,-0.19
13694,1,0,0,100.01,0.00
13769,1,0,0,99.53,-0.43
13794,1,0,0,103.03,-0.43
13844,1,0,0,101.56,-0.31
13894,1,0,0,99.89,-0.12
13944,1,0,0,99.46,-0.07
13996,1,0,0,98.93,-0.36
14045,1,0,0,100.89,-0.55
14094,1,0,0,99.58,-0.12
14144,1,0,0,100.01,-0.31
14194,1,0,0,99.34,-0.48
14244,1,0,0,100.84,-0.48
14294,1,0,0,100.41,-0.07
14344,1,0,0,101.48,-0.24
14396,1,0,0,100.96,-0.48
14445,1,0,0,100.60,-0.43
14494,1,0,0,100.72,-0.12
14544,1,0,0,99.46,-0.24
14594,1,0,0,100.17,-0.19
14644,1,0,0,100.24,-0.36
14694,1,0,0,100.89,-0.43
14744,1,0,0,100.29,-0.31
14796,1,0,0,100.96,-0.36
14844,1,0,0,99.82,-0.48
14894,1,0,0,100.65,-0.24
