Time,V1,V2,V3,Pressure1,Pressure2
-546,0,0,0,-0.17,0.00
-537,0,0,0,-0.36,0.00
-527,0,0,0,-0.29,-0.07
-517,0,0,0,-0.24,0.00
-507,0,0,0,-0.17,-0.07
-497,0,0,0,-0.05,-0.24
-487,0,0,0,-0.24,-0.12
-477,0,0,0,-0.17,-0.12
-467,0,0,0,-0.17,0.00
-457,0,0,0,0.00,-0.19
-447,0,0,0,-0.12,-0.12
-437,0,0,0,-0.12,-0.07
-427,0,0,0,-0.05,0.05
-417,0,0,0,0.07,-0.07
-407,0,0,0,0.00,-0.07
-397,0,0,0,-0.05,-0.31
-387,0,0,0,-0.05,-0.12
-377,0,0,0,-0.05,-0.19
-367,0,0,0,-0.12,-0.07
-357,0,0,0,-0.24,-0.24
-347,0,0,0,0.07,-0.12
-337,0,0,0,-0.29,-0.19
-326,0,0,0,-0.05,-0.24
-316,0,0,0,-0.36,-0.24
-307,0,0,0,-0.48,-0.12
-297,0,0,0,-0.48,-0.36
-287,0,0,0,-0.29,-0.12
-277,0,0,0,-0.29,-0.31
-267,0,0,0,-0.29,-0.19
-257,0,0,0,0.07,-0.19
-245,0,0,0,0.00,-0.12
-237,0,0,0,0.00,-0.19
-227,0,0,0,0.00,-0.19
-217,0,0,0,-0.05,0.00
-207,0,0,0,0.24,-0.19
-197,0,0,0,-0.05,-0.07
-186,0,0,0,0.00,-0.07
-177,0,0,0,0.07,0.05
-165,0,0,0,0.07,0.17
-157,0,0,0,-0.17,0.05
-147,0,0,0,-0.05,0.05
-137,0,0,0,-0.12,-0.07
-127,0,0,0,-0.12,0.00
-107,0,0,0,-0.12,0.05
-105,0,0,0,-0.36,-0.12
-97,0,0,0,-0.05,-0.12
-86,0,0,0,-0.24,-0.12
-76,0,0,0,-0.24,-0.12
-67,0,0,0,-0.29,-0.12
-57,0,0,0,-0.05,-0.07
-47,0,0,0,-0.17,0.12
-37,0,0,0,-0.24,-0.12
-27,0,0,0,-0.24,-0.24
-16,0,0,0,-0.29,-0.19
-5,0,0,0,-0.24,-0.12
3,0,0,0,-0.29,0.29
21,0,0,0,-0.24,-0.12
32,0,0,0,-0.24,-0.24
33,0,0,0,-0.24,-0.36
44,0,0,0,-0.29,0.17
65,0,0,0,-0.29,-0.36
68,0,0,0,-0.29,-0.12
79,0,0,0,-0.36,-0.12
87,0,0,0,-0.29,-0.19
126,0,0,0,-0.36,0.12
127,0,0,0,-0.12,-0.07
139,0,0,0,0.19,-0.36
140,0,0,0,-0.12,-0.19
141,0,0,0,-0.36,-0.12
160,0,0,0,-0.12,-0.24
162,0,0,0,-0.05,-0.12
163,0,0,0,-0.24,-0.12
175,0,0,0,-0.17,-0.12
195,0,0,0,-0.24,-0.12
222,0,0,0,-0.17,-0.07
223,0,0,0,-0.29,0.05
235,0,0,0,-0.36,0.00
255,0,0,0,-0.29,0.00
257,0,0,0,-0.29,-0.07
265,0,0,0,-0.24,-0.12
285,0,0,0,-0.29,-0.07
305,0,0,0,-0.41,-0.43
306,0,0,0,-0.17,-0.07
312,0,0,0,-0.24,-0.19
335,0,0,0,-0.24,-0.19
345,0,0,0,-0.17,-0.31
375,0,0,0,-0.05,-0.43
401,0,0,0,0.00,0.24
402,0,0,0,0.07,-0.07
403,0,0,0,-0.05,0.05
405,0,0,0,-0.12,0.00
415,0,0,0,-0.12,0.12
435,0,0,0,-0.05,-0.07
438,0,0,0,-0.48,0.12
465,0,0,0,0.00,0.00
466,0,0,0,-0.05,-0.07
467,0,0,0,0.12,-0.19
495,0,0,0,0.12,-0.19
496,0,0,0,0.19,-0.19
504,0,0,0,0.00,-0.19
506,0,0,0,0.00,-0.19
532,0,0,0,0.07,-0.19
537,0,0,0,0.07,-0.12
546,0,0,0,0.07,-0.19
562,0,0,0,-0.17,-0.12
564,0,0,0,-0.17,-0.19
