Time,V1,V2,V3,Pressure1,Pressure2
11,0,0,0,5.96,0.24
56,0,0,0,5.84,0.00
106,0,0,0,5.89,-0.19
156,0,0,0,6.13,-0.19
206,0,0,0,5.89,-0.19
256,0,0,0,5.96,-0.12
306,0,0,0,6.08,-0.19
356,0,0,0,5.89,-0.31
459,0,0,0,5.65,-0.55
466,0,0,0,5.84,-0.55
513,0,0,0,5.77,-0.31
558,0,0,0,5.72,-0.31
606,0,0,0,5.84,-0.24
656,0,0,0,5.96,-0.19
706,0,0,0,5.89,-0.36
756,0,0,0,5.84,-0.36
806,0,0,0,5.77,-0.12
856,0,0,0,5.89,-0.19
908,0,0,0,6.08,-0.19
956,0,0,0,6.08,-0.24
1006,0,0,0,5.96,-0.07
1056,0,0,0,5.89,-0.19
1106,0,0,0,5.84,-0.19
1156,0,0,0,6.01,-0.24
1206,0,0,0,6.01,-0.48
1256,0,0,0,6.01,-0.36
1306,0,0,0,6.01,-0.36
1356,0,0,0,5.96,-0.43
1406,0,0,0,5.89,-0.31
1456,0,0,0,5.96,-0.19
1506,0,0,0,5.89,-0.12
1556,0,0,0,5.84,-0.24
1606,0,0,0,5.89,-0.43
1656,0,0,0,5.77,-0.60
1708,0,0,0,6.01,-0.36
1756,0,0,0,6.37,-0.19
1806,0,0,0,6.25,-0.19
1856,0,0,0,5.89,-0.36
1906,0,0,0,6.08,-0.19
1957,0,0,0,5.84,-0.19
2006,0,0,0,5.72,-0.43
2056,0,0,0,5.72,-0.48
2108,0,0,0,6.01,-0.12
2156,0,0,0,6.01,-0.31
2206,0,0,0,5.89,0.05
2256,0,0,0,6.01,-0.43
2306,0,0,0,5.89,-0.24
2356,0,0,0,5.96,-0.31
2408,0,0,0,5.65,-0.36
2456,0,0,0,5.72,-0.31
2509,1,0,0,5.89,-0.19
2556,1,0,0,11.37,-0.07
2607,0,0,0,91.85,0.00
2660,0,0,0,108.78,-0.31
2707,0,0,0,104.06,-0.24
2766,0,0,0,102.27,-0.19
2806,0,0,0,101.13,-0.12
2856,0,0,0,100.29,-0.12
2906,0,0,0,99.22,-0.07
2956,0,0,0,98.58,-0.12
3006,0,0,0,98.34,-0.19
3056,0,0,0,97.69,-0.43
3106,0,0,0,97.38,-0.36
3156,0,0,0,96.86,-0.24
3206,0,0,0,96.31,-0.31
3257,0,0,0,95.91,-0.24
3331,0,0,0,95.79,-0.24
3357,0,0,0,95.43,-0.19
3406,0,0,0,95.07,-0.07
3456,0,0,0,94.88,-0.31
3506,0,0,0,94.59,-0.12
3556,0,0,0,94.36,-0.19
3606,0,0,0,93.88,-0.12
3659,0,0,0,93.69,0.05
3706,0,0,0,93.64,0.17
3756,0,0,0,93.28,-0.36
3806,0,0,0,93.09,-0.31
3856,0,0,0,92.97,-0.12
3907,0,0,0,92.57,-0.24
3956,0,0,0,92.33,-0.19
4007,0,0,0,91.97,-0.19
4056,0,0,0,91.78,-0.55
4106,0,0,0,91.85,-0.67
4156,0,0,0,91.50,-0.12
4206,0,0,0,91.54,0.00
4257,0,0,0,91.23,-0.19
4322,0,0,0,91.11,-0.24
4356,0,0,0,90.92,-0.24
4406,0,0,0,90.64,-0.24
4456,0,0,0,90.57,-0.43
4507,0,0,0,90.45,-0.31
4560,0,0,0,90.21,-0.31
4607,0,0,0,90.28,-0.24
4657,0,0,0,89.92,-0.24
4707,0,0,0,89.85,-0.24
4757,0,0,0,89.73,-0.36
4807,0,0,0,89.49,-0.36
4857,0,0,0,89.25,-0.36
4907,0,0,0,89.25,-0.19
4957,0,0,0,89.09,-0.31
5007,0,0,0,89.25,-0.43
5057,0,0,0,89.14,-0.24
5107,0,0,0,88.61,-0.24
5157,0,0,0,88.49,-0.19
5207,0,0,0,88.54,-0.48
5257,0,0,0,88.54,-0.55
5307,0,0,0,88.25,-0.19
5360,0,0,0,88.18,-0.48
5407,0,0,0,87.90,-0.36
5457,0,0,0,87.78,-0.19
5507,0,1,0,87.61,-0.24
5557,0,0,0,65.37,84.39
5607,0,1,0,43.20,1.43
5656,0,1,0,42.22,35.59
5706,0,1,0,27.94,24.48
5756,0,1,0,16.43,14.73
5806,0,1,0,8.87,7.87
5856,0,1,0,4.10,3.74
5906,0,1,0,1.67,1.48
5956,0,1,0,0.41,0.60
6006,0,1,0,0.07,0.36
6056,0,1,0,0.19,0.36
6106,0,1,0,0.00,-0.24
6156,0,1,0,-0.05,-0.12
6207,0,1,0,-0.24,0.29
6257,0,1,0,0.12,0.12
6307,0,1,0,0.00,-0.24
6357,0,1,0,-0.05,-0.12
6406,0,1,0,-0.17,0.17
6456,0,1,0,-0.05,0.17
6506,0,1,0,0.00,-0.12
6577,0,1,0,0.00,0.24
6606,0,1,0,-0.12,0.05
6656,0,1,0,-0.17,-0.07
6706,0,1,0,0.00,0.05
6756,0,1,0,0.07,0.05
6816,0,1,0,-0.05,0.00
6856,0,1,0,-0.05,0.12
6906,0,1,0,-0.05,-0.31
6956,0,1,0,-0.12,-0.07
7006,0,1,0,0.00,0.00
7056,0,1,0,-0.05,0.00
7107,0,1,0,0.00,-0.07
7157,0,1,0,0.00,0.05
7209,0,0,0,-0.12,0.00
7270,0,0,0,-3.15,0.83
7306,0,0,0,-1.07,-0.19
7356,0,0,0,-0.17,-0.31
7406,0,0,0,0.12,-0.19
7461,0,0,0,0.19,0.00
7506,0,0,0,0.41,0.05
7558,1,0,1,0.52,-0.07
7613,0,0,0,21.07,-0.24
7657,0,0,0,49.92,-0.36
7706,0,0,0,68.42,-0.43
7756,0,0,0,69.54,-0.12
7806,0,0,0,69.35,-0.12
7856,0,0,0,68.94,-0.12
7906,0,0,0,68.59,0.00
7956,0,0,0,68.42,-0.24
8007,0,0,0,67.99,-0.12
8057,0,0,0,67.70,-0.36
8106,0,0,0,67.51,-0.31
