Time,V1,V2,V3,Pressure1,Pressure2
-378,0,0,0,5.29,-0.07
-338,0,0,0,5.41,0.05
-288,0,0,0,5.41,0.05
-233,0,0,0,5.29,-0.12
-188,0,0,0,5.41,0.00
-138,0,0,0,5.24,0.05
-83,0,0,0,5.36,-0.36
-38,0,0,0,5.01,-0.24
26,0,0,0,5.17,0.05
73,0,0,0,5.13,0.24
123,0,0,0,4.93,-0.36
163,0,0,0,5.29,-0.31
233,0,0,0,5.24,-0.31
262,0,0,0,5.36,-0.31
332,0,0,0,5.24,-0.43
372,0,0,0,4.93,-0.07
416,0,0,0,5.05,-0.31
462,0,0,0,5.36,-0.19
512,0,0,0,5.29,0.12
570,0,0,0,5.13,-0.07
612,0,0,0,5.24,-0.12
662,0,0,0,5.29,0.00
712,0,0,0,5.24,-0.24
762,0,0,0,5.36,-0.24
814,0,0,0,5.36,-0.12
864,0,0,0,5.29,0.36
912,0,0,0,5.17,-0.43
962,0,0,0,5.24,-0.36
1012,0,0,0,5.13,-0.07
1062,0,0,0,5.17,-0.19
1112,0,0,0,5.24,0.00
1162,0,0,0,5.17,-0.19
1212,0,0,0,5.36,-0.07
1262,0,0,0,5.29,-0.24
1312,0,0,0,5.01,0.05
1362,0,0,0,5.13,0.05
1412,0,0,0,4.93,-0.31
1462,0,0,0,5.13,-0.19
1512,0,0,0,5.17,-0.12
1563,0,0,0,5.17,-0.24
1612,0,0,0,5.13,-0.12
1662,0,0,0,5.17,-0.24
1712,0,0,0,5.36,-0.43
1762,0,0,0,5.17,-0.43
1812,0,0,0,5.17,-0.19
1862,0,0,0,5.24,-0.07
1912,0,0,0,5.24,-0.12
1962,0,0,0,5.13,-0.12
2012,0,0,0,5.24,-0.24
2062,0,0,0,5.36,0.05
2113,0,0,0,5.17,-0.19
2163,0,0,0,5.24,-0.19
2213,0,0,0,5.05,-0.12
2262,0,0,0,5.29,-0.12
2312,0,0,0,5.17,0.00
2362,0,0,0,5.13,0.12
2453,0,0,0,4.93,0.05
2471,0,0,0,5.05,0.05
2512,0,0,0,5.17,0.17
2571,0,0,0,5.17,-0.07
2616,0,0,0,5.17,-0.24
2662,0,0,0,5.17,-0.19
2712,0,0,0,4.89,-0.07
2762,0,0,0,5.05,-0.24
2814,0,0,0,5.29,0.00
2863,0,0,0,5.36,-0.19
2912,0,0,0,5.24,-0.12
2962,0,0,0,5.17,-0.07
3012,0,0,0,5.24,-0.24
3062,0,0,0,5.48,-0.19
3112,0,0,0,5.24,-0.31
3162,0,0,0,5.17,-0.12
