Time,V1,V2,V3,Pressure1,Pressure2
-472,0,0,0,8.15,-0.36
-468,0,0,0,8.15,0.17
-458,0,0,0,8.15,-0.12
-448,0,0,0,8.03,-0.31
-437,0,0,0,7.99,-0.24
-421,0,0,0,8.03,-0.43
-418,0,0,0,8.03,-0.43
-408,0,0,0,7.63,-0.12
-398,0,0,0,8.11,-0.36
-388,0,0,0,7.99,-0.48
-377,0,0,0,8.11,-0.24
-368,0,0,0,8.03,-0.24
-358,0,0,0,7.80,-0.83
-348,0,0,0,7.99,-0.36
-337,0,0,0,7.99,-0.24
-328,0,0,0,8.15,-0.55
-318,0,0,0,8.22,-0.83
-301,0,0,0,8.11,-0.31
-298,0,0,0,8.03,-0.48
-288,0,0,0,7.99,-0.60
-278,0,0,0,8.15,-0.31
-268,0,0,0,8.03,-0.48
-258,0,0,0,7.75,-0.60
-248,0,0,0,8.11,-0.36
-238,0,0,0,8.11,-0.36
-228,0,0,0,8.15,-0.12
-218,0,0,0,7.68,0.17
-208,0,0,0,8.22,-0.43
-198,0,0,0,8.11,-0.12
-188,0,0,0,8.15,-0.19
-178,0,0,0,8.22,-0.19
-168,0,0,0,7.99,0.17
-158,0,0,0,8.63,0.12
-141,0,0,0,8.27,-0.19
-138,0,0,0,8.34,-0.12
-128,0,0,0,8.34,-0.31
-118,0,0,0,8.22,-0.24
-108,0,0,0,8.46,-0.48
-98,0,0,0,8.27,-0.19
-82,0,0,0,8.22,-0.12
-71,0,0,0,8.27,-0.31
-68,0,0,0,8.51,-0.07
-58,0,0,0,8.39,-0.36
-48,0,0,0,7.87,-0.24
-38,0,0,0,7.91,-0.31
-28,0,0,0,7.91,-0.36
-18,0,0,0,7.80,-0.43
-8,0,0,0,7.91,-0.31
2,0,0,0,7.80,-0.31
12,0,0,0,7.80,-0.24
22,0,0,0,7.80,-0.24
69,0,0,0,8.03,-0.36
70,0,0,0,8.11,-0.31
77,0,0,0,8.15,-0.31
80,0,0,0,8.11,-0.24
89,0,0,0,8.15,-0.31
90,0,0,0,8.03,-0.31
98,0,0,0,8.11,-0.31
102,0,0,0,8.22,-0.31
112,0,0,0,8.15,-0.31
122,0,0,0,8.22,-0.43
132,0,0,0,8.15,-0.36
142,0,0,0,8.15,-0.24
152,0,0,0,8.11,-0.43
162,0,0,0,8.03,-0.31
172,0,0,0,8.11,-0.36
182,0,0,0,8.22,-0.31
194,0,0,0,8.03,-0.24
202,0,0,0,8.03,-0.31
212,0,0,0,8.03,-0.31
224,0,0,0,8.11,-0.24
232,0,0,0,7.99,-0.36
242,0,0,0,8.27,-0.31
252,0,0,0,8.22,-0.12
262,0,0,0,8.27,-0.43
272,0,0,0,8.15,-0.36
282,0,0,0,8.27,0.17
292,0,0,0,8.15,0.05
306,0,0,0,8.34,-0.36
312,0,0,0,8.27,-0.43
322,0,0,0,8.34,-0.36
332,0,0,0,8.34,-0.07
342,0,0,0,8.11,-0.24
352,0,0,0,8.15,-0.55
362,0,0,0,8.22,-0.48
372,0,0,0,8.27,-0.43
384,0,0,0,8.15,-0.48
393,0,0,0,8.46,-0.48
402,0,0,0,8.27,-0.55
412,0,0,0,8.22,-0.55
422,0,0,0,8.27,-0.60
433,0,0,0,8.15,-0.55
442,0,0,0,8.27,-0.36
452,0,0,0,8.11,-0.19
466,0,0,0,8.03,-0.55
472,0,0,0,8.11,-0.12
482,0,0,0,8.11,-0.12
492,0,0,0,8.11,-0.43
502,0,0,0,8.11,-0.12
513,0,0,0,8.15,-0.12
522,0,0,0,8.15,-0.19
532,0,0,0,8.03,0.24
546,0,0,0,8.22,-0.19
552,0,0,0,8.11,-0.31
562,0,0,0,8.22,-0.31
572,0,0,0,8.27,-0.24
582,0,0,0,8.34,-0.12
593,0,0,0,8.03,0.05
602,0,0,0,8.27,-0.36
612,0,0,0,8.22,-0.36
626,0,0,0,8.27,-0.31
632,0,0,0,8.15,-0.24
642,0,0,0,8.22,-0.91
652,0,0,0,8.27,-0.36
662,0,0,0,8.27,-0.36
672,0,0,0,8.27,-0.31
682,0,0,0,8.39,-0.55
692,0,0,0,8.34,-0.31
706,0,0,0,8.27,-0.43
712,0,0,0,8.34,-0.31
722,0,0,0,8.39,-0.36
732,0,0,0,8.27,-0.43
742,0,0,0,8.11,-0.31
752,0,0,0,8.34,-0.43
762,0,0,0,8.27,-0.43
773,0,0,0,8.27,-0.43
784,0,0,0,7.99,-0.31
792,0,0,0,7.87,-0.60
802,0,0,0,8.34,-0.36
812,0,0,0,8.34,-0.36
822,0,0,0,8.27,-0.48
833,0,0,0,8.27,-1.07
842,0,0,0,8.46,-0.36
852,0,0,0,8.27,-0.43
862,0,0,0,8.27,-0.36
872,0,0,0,8.15,-0.31
882,0,0,0,8.22,-0.48
892,0,0,0,8.27,-0.19
902,0,0,0,8.27,-0.43
912,0,0,0,8.22,-0.36
922,0,0,0,8.15,-0.48
932,0,0,0,8.15,-0.43
942,0,0,0,8.03,-0.36
952,0,0,0,8.15,-0.24
962,0,0,0,8.34,-0.19
972,0,0,0,8.34,-0.24
982,0,0,0,8.39,-0.31
992,0,0,0,8.11,-0.43
1002,0,0,0,8.34,-0.24
1012,0,0,0,8.27,-0.36
1022,0,0,0,8.34,-0.31
1032,0,0,0,8.34,-0.43
1042,0,0,0,7.75,-0.72
1052,0,0,0,8.34,-0.43
1062,0,0,0,8.51,-0.48
1073,0,0,0,8.46,-0.36
1082,0,0,0,8.39,-0.43
1092,0,0,0,8.63,-0.24
1104,0,0,0,8.46,-0.43
1112,0,0,0,8.39,-0.36
1122,0,0,0,8.51,-0.48
1132,0,0,0,8.46,-0.07
1142,0,0,0,8.22,-0.12
1152,0,0,0,8.39,0.00
1162,0,0,0,8.39,0.00
1172,0,0,0,8.34,0.05
1183,0,0,0,8.11,-0.12
1192,0,0,0,8.51,0.05
1202,0,0,0,8.34,0.05
1212,0,0,0,8.34,0.05
1222,0,0,0,8.39,0.12
1232,0,0,0,8.34,-0.19
1242,0,0,0,8.63,-0.19
1252,0,0,0,8.39,-0.31
1262,0,0,0,8.27,-0.24
1272,0,0,0,8.27,-0.24
1282,0,0,0,8.15,-0.12
1292,0,0,0,8.27,-0.43
1302,0,0,0,8.22,-0.24
1312,0,0,0,8.27,-0.19
1322,0,0,0,8.27,-0.24
1332,0,0,0,8.22,-0.43
1342,0,0,0,8.63,-0.43
1352,0,0,0,8.22,-0.31
1362,0,0,0,8.27,-0.31
1372,0,0,0,8.15,-0.19
1382,0,0,0,8.27,-0.19
1392,0,0,0,8.27,-0.48
1403,0,0,0,8.27,-0.31
1412,0,0,0,8.22,-0.19
1425,0,0,0,8.27,-0.36
1432,0,0,0,8.34,-0.48
1442,0,0,0,8.39,-0.07
1452,0,0,0,8.34,-0.36
1462,0,0,0,8.27,-0.36
1472,0,0,0,8.39,-0.48
1482,0,0,0,8.34,-0.55
1492,0,0,0,8.03,-0.48
1502,0,0,0,8.27,-0.43
1512,0,0,0,8.34,-0.36
1522,0,0,0,8.34,-0.48
1532,0,0,0,8.27,0.00
1542,0,0,0,8.15,-0.12
1552,0,0,0,8.34,-0.19
1562,0,0,0,8.34,-0.12
1572,0,0,0,8.34,-0.12
1582,0,0,0,8.46,-0.12
1592,0,0,0,8.58,0.00
1602,0,0,0,8.46,0.00
1613,0,0,0,8.51,-0.12
1622,0,0,0,8.51,-0.31
1648,0,0,0,8.58,-0.24
1653,0,0,0,8.15,-0.24
1659,0,0,0,8.58,-0.43
1669,0,0,0,8.51,-0.36
1672,0,0,0,8.34,-0.36
1682,0,0,0,8.39,-0.36
1692,0,0,0,8.46,-0.31
1702,0,0,0,8.34,-0.36
1712,0,0,0,8.27,-0.24
1722,0,0,0,8.34,-0.12
1732,0,0,0,8.34,-0.43
1742,0,0,0,8.27,-0.19
1752,0,0,0,8.39,-0.12
1762,0,0,0,8.34,-0.19
1772,0,0,0,8.27,0.00
1782,0,0,0,8.39,-0.24
1792,0,0,0,8.39,0.05
1802,0,0,0,8.34,-0.19
1812,0,0,0,8.39,-0.12
1822,0,0,0,8.51,-0.43
1832,0,0,0,8.39,-0.12
1842,0,0,0,8.11,-0.36
1853,0,0,0,8.39,-0.36
1862,0,0,0,8.39,-0.31
1872,0,0,0,8.46,-0.43
1882,0,0,0,8.46,-0.36
1892,0,0,0,8.82,-0.43
1904,1,0,0,8.46,-0.43
1913,1,0,0,8.51,-0.31
1922,1,0,0,10.23,-0.36
1932,1,0,0,12.37,-0.24
1942,1,0,0,10.82,-0.48
1954,0,0,0,39.55,-0.43
1962,0,0,0,44.87,-0.36
1993,0,0,0,95.60,-0.55
1999,0,0,0,107.59,-0.43
2002,0,0,0,106.56,0.00
2005,0,0,0,62.75,-0.31
2012,0,0,0,73.64,-0.31
2022,0,0,0,73.00,-0.19
2032,0,0,0,83.84,-0.48
2042,0,0,0,86.47,-0.24
2052,0,0,0,81.70,-0.24
2062,0,0,0,79.39,-0.36
2072,0,0,0,80.51,-0.24
2083,0,0,0,82.60,-0.60
2092,0,0,0,81.89,-0.31
2102,0,0,0,80.70,-0.36
2112,0,0,0,80.22,-0.31
2122,0,0,0,80.58,-0.12
2132,0,0,0,80.86,-0.31
2142,0,0,0,80.15,-0.24
2153,0,0,0,80.03,-0.36
2162,0,0,0,79.98,-0.36
2172,0,0,0,79.98,-0.36
2182,0,0,0,79.62,-0.12
2193,0,0,0,79.55,-0.31
2204,0,0,0,79.31,-0.24
2212,0,0,0,79.08,-0.36
2222,0,0,0,79.19,-0.31
2233,0,0,0,79.15,-0.60
2242,0,0,0,78.79,-0.07
2252,0,0,0,78.67,-0.31
2263,0,0,0,78.55,-0.43
2272,0,0,0,78.48,-0.55
2282,0,0,0,78.48,-0.24
2292,0,0,0,78.19,-0.31
2302,0,0,0,78.31,-0.36
2312,0,0,0,78.07,-0.19
2322,0,0,0,77.95,-0.19
2332,0,0,0,77.95,-0.55
2342,0,0,0,77.72,-0.43
2352,0,0,0,77.60,-0.12
2362,0,0,0,77.60,-0.24
2372,0,0,0,77.67,-0.31
2385,0,0,0,77.55,-0.43
2392,0,0,0,77.67,0.00
2402,0,0,0,77.31,-0.36
2412,0,0,0,77.31,-0.36
2422,0,0,0,77.24,-0.31
2433,0,0,0,77.19,-0.55
2442,0,0,0,77.19,-0.36
2452,0,0,0,76.88,-0.31
2462,0,0,0,76.95,-0.31
2472,0,0,0,76.83,-0.36
2482,0,0,0,76.60,-0.48
2492,0,0,0,76.41,-0.48
2502,0,0,0,76.52,-0.43
2513,0,0,0,76.48,-0.48
2522,0,0,0,76.29,-0.48
2532,0,0,0,76.36,-0.36
2546,0,0,0,76.41,-0.43
2553,0,0,0,76.24,-0.48
2562,0,0,0,76.05,-0.48
2572,0,0,0,76.17,-0.43
2585,0,0,0,75.93,-0.43
2593,0,0,0,75.88,-0.48
2602,0,0,0,75.88,-0.31
2613,0,0,0,75.93,-0.36
2626,0,0,0,75.76,-0.43
2632,0,0,0,75.81,-0.31
2642,0,0,0,75.64,-0.07
2652,0,0,0,75.64,-0.24
2662,0,0,0,75.52,-0.31
2674,0,0,0,75.57,-0.48
2683,0,0,0,75.28,-0.43
2692,0,0,0,74.90,-0.48
2705,0,0,0,74.90,-0.36
2713,0,0,0,74.90,-0.31
2722,0,0,0,74.97,-0.36
2732,0,0,0,74.83,-0.36
2742,0,0,0,74.90,-0.24
2752,0,0,0,74.90,-0.31
2762,0,0,0,74.71,-0.31
2773,0,0,0,74.78,-0.36
2782,0,0,0,74.66,0.00
2793,0,0,0,75.33,-0.31
2802,0,0,0,75.21,-0.36
2812,0,0,0,75.09,-0.36
2822,0,0,0,75.17,-0.43
2832,0,0,0,74.97,-0.31
2842,0,0,0,74.12,-0.24
2852,0,0,0,74.90,-0.43
2862,0,0,0,74.83,-0.48
2872,0,0,0,74.83,-0.43
2882,0,0,0,74.71,-0.79
2892,0,0,0,74.24,-0.24
2902,0,0,0,74.47,-0.31
2912,0,0,0,74.43,-0.24
2922,0,0,0,74.24,-0.31
2932,0,0,0,74.24,-0.36
2945,0,0,0,74.43,-0.36
2952,0,0,0,74.19,-0.31
2962,0,0,0,74.24,-0.31
2975,0,0,0,74.12,-0.24
2982,0,0,0,74.12,-0.24
2993,0,0,0,74.19,-0.72
3002,0,0,0,74.24,-0.36
3012,0,0,0,74.19,-0.36
3025,0,0,0,74.31,-0.36
3032,0,0,0,74.19,-0.12
3042,0,0,0,74.19,-0.31
3056,0,0,0,74.07,-0.36
3062,0,0,0,74.00,-0.31
3072,0,0,0,74.07,-0.24
3082,0,0,0,73.88,-0.48
3092,0,0,0,73.83,-1.14
3102,0,0,0,73.83,-0.67
3112,0,0,0,73.64,-0.55
3123,0,0,0,73.83,-0.79
3132,0,0,0,73.64,-0.48
3142,0,0,0,73.59,-0.60
3153,0,0,0,73.52,-0.67
3162,0,0,0,73.47,-0.60
3172,0,0,0,73.40,-0.60
3182,0,0,0,73.35,-0.67
3192,0,0,0,73.40,-0.12
3202,0,0,0,73.28,-0.24
3212,0,0,0,73.28,-0.12
3222,0,0,0,73.28,-0.36
3232,0,0,0,73.12,-0.43
3242,0,0,0,73.28,0.00
3252,0,0,0,73.12,-0.24
3262,0,0,0,73.12,-0.19
3272,0,0,0,73.04,-0.24
3282,0,0,0,73.04,-0.36
3292,0,0,0,73.04,-0.43
3302,0,0,0,73.47,-0.31
3313,0,0,0,73.35,-0.36
3322,0,0,0,73.47,-0.31
3332,0,0,0,73.40,-0.24
3342,0,0,0,73.59,-0.43
3352,0,0,0,73.23,-0.36
3362,0,0,0,73.28,-0.36
3374,0,0,0,73.28,-0.60
3382,0,0,0,73.16,-0.12
3392,0,0,0,73.16,-0.31
3402,0,0,0,72.92,-0.31
3412,0,0,0,72.88,-0.31
3422,0,0,0,72.76,-0.36
3432,0,0,0,72.76,-0.43
3442,0,0,0,72.69,-0.36
3452,0,0,0,72.64,-0.31
3462,0,0,0,72.57,-0.24
3472,0,0,0,72.57,-0.43
3482,0,0,0,72.64,-0.48
3493,0,0,0,72.76,-0.19
3502,0,0,0,72.52,-0.12
3512,0,0,0,72.52,-0.12
3522,0,0,0,72.33,-0.07
3532,0,0,0,72.33,0.05
3542,0,0,0,72.57,-0.07
3552,0,0,0,72.28,-0.12
3562,0,0,0,72.33,-0.19
3572,0,0,0,72.33,-0.24
3582,0,0,0,72.28,-0.55
3592,0,0,0,72.52,-0.12
3602,0,0,0,72.16,-0.24
3612,0,0,0,72.09,-0.24
3622,0,0,0,72.09,-0.19
3632,0,0,0,72.09,-0.55
3642,0,0,0,71.68,-0.36
3652,0,0,0,71.97,-0.19
3662,0,0,0,71.97,-0.31
3672,0,0,0,71.85,-0.19
3682,0,0,0,71.97,-0.24
3692,0,0,0,71.97,-0.07
3702,0,0,0,72.16,-0.24
3730,0,0,0,71.92,-0.31
3734,0,0,0,71.80,-0.12
3749,0,0,0,71.85,-0.24
3751,0,0,0,71.97,-0.31
3757,0,0,0,71.85,-0.24
3762,0,0,0,71.80,-0.24
3772,0,0,0,71.85,-0.79
3782,0,0,0,71.73,-0.83
3792,0,0,0,71.80,-0.48
3802,0,0,0,71.26,-0.83
3812,0,0,0,71.45,-0.91
3822,0,0,0,71.45,-0.72
3832,0,0,0,71.38,-0.79
3842,0,0,0,71.33,-1.19
