Time,V1,V2,V3,Pressure1,Pressure2
110,0,1,0,0.00,0.00
126,0,1,0,0.10,0.15
142,0,1,0,0.20,0.30
157,0,1,0,0.30,0.45
174,0,1,0,0.40,0.60
189,0,1,0,0.50,0.75
205,0,1,0,0.60,0.90
221,0,1,0,0.70,1.05
236,0,1,0,0.80,1.20
251,0,1,0,0.90,1.35
267,0,1,0,1.00,1.50
282,0,1,0,1.10,1.65
298,0,1,0,1.20,1.80
313,0,1,0,1.30,1.95
329,0,1,0,1.40,2.10
345,0,1,0,1.50,2.25
360,0,1,0,1.60,2.40
375,0,1,0,1.70,2.55
391,0,1,0,1.80,2.70
407,0,1,0,1.90,2.85
423,0,1,0,2.00,3.00
438,0,1,0,2.10,3.15
454,0,1,0,2.20,3.30
469,0,1,0,2.30,3.45
485,0,1,0,2.40,3.60
501,0,1,0,2.50,3.75
517,0,1,0,2.60,3.90
532,0,1,0,2.70,4.05
548,0,1,0,2.80,4.20
563,0,1,0,2.90,4.35
579,0,1,0,3.00,4.50
595,0,1,0,3.10,4.65
611,0,1,0,3.20,4.80
627,0,1,0,3.30,4.95
642,0,1,0,3.40,5.10
658,0,1,0,3.50,5.25
674,0,1,0,3.60,5.40
690,0,1,0,3.70,5.55
707,0,1,0,3.80,5.70
723,0,1,0,3.90,5.85
738,0,1,0,4.00,6.00
753,0,1,0,4.10,6.15
768,0,1,0,4.20,6.30
784,0,1,0,4.30,6.45
800,0,1,0,4.40,6.60
815,0,1,0,4.50,6.75
832,0,1,0,4.60,6.90
847,0,1,0,4.70,7.05
863,0,1,0,4.80,7.20
880,0,1,0,4.90,7.35
895,0,1,0,5.00,7.50
911,0,1,0,5.10,7.65
927,0,1,0,5.20,7.80
941,0,1,0,5.30,7.95
957,0,1,0,5.40,8.10
972,0,1,0,5.50,8.25
988,0,1,0,5.60,8.40
1004,0,1,0,5.70,8.55
1019,0,1,0,5.80,8.70
1035,0,1,0,5.90,8.85
1051,0,1,0,6.00,9.00
1066,0,1,0,6.10,9.15
1081,0,1,0,6.20,9.30
1097,0,1,0,6.30,9.45
1113,0,1,0,6.40,9.60
1128,0,1,0,6.50,9.75
1144,0,1,0,6.60,9.90
1159,0,1,0,6.70,10.05
1174,0,1,0,6.80,10.20
1190,0,1,0,6.90,10.35
1205,0,1,0,7.00,10.50
1221,0,1,0,7.10,10.65
1236,0,1,0,7.20,10.80
1252,0,1,0,7.30,10.95
1267,0,1,0,7.40,11.10
1283,0,1,0,7.50,11.25
1299,0,1,0,7.60,11.40
1314,0,1,0,7.70,11.55
1330,0,1,0,7.80,11.70
1346,0,1,0,7.90,11.85
1362,0,1,0,8.00,12.00
1377,0,1,0,8.10,12.15
1392,0,1,0,8.20,12.30
1408,0,1,0,8.30,12.45
1423,0,1,0,8.40,12.60
1439,0,1,0,8.50,12.75
1455,0,1,0,8.60,12.90
